Cancion;Nombre Album;Artista;Fecha de lanzamiento;Codigo de grabacion;Ranking historico;Spotify Streams;Spotify Playlist Count;Busquedas en Spotify;Spotify Popularity;YouTube Views;YouTube Likes;TikTok Posts;TikTok Likes;TikTok Views;YouTube Playlist Reach;Apple Music Playlist Count;Amazon Playlist Count;Soundcloud Streams;;;;;
Lollipop;EVERYBODY GO TO THE DISCOTEK;Darell;7/28/2023;USSD12300307;94;275,349,653;37,806;22,826,643;70;347,506,860;1,553,295;4,349,700;321,239,621;4,767,676,439;2,676,837,761;19;29;;;;;;
La Diabla;La Diabla - Single;Xavi;12/2/23;USA2P2357356;95;649,404,552;27,544;47,789,063;83;433,839,212;2,750,086;;414,833;10,603,563;1,795,939,912;29;26;;;;;;
Boy's a Liar Pt. 2;Boy's a liar Pt. 2;PinkPantheress;2/3/23;GBAYE2300015;96;851,085,705;129,047;50,996,176;70;211,810,152;2,461,166;3,502,547;955,272,568;8,781,020,473;806,434,641;162;130;13,896,129;;;;;
Snooze;SOS;SZA;12/9/22;USRC12204591;97;1,013,350,808;108,036;86,470,319;84;390,677,417;2,521,214;402,338;97,819,766;887,803,828;560,893,301;154;61;17,702,595;;;;;
BELLAKEO;BELLAKEO;Peso Pluma;12/7/23;QMFMF2388143;98;359,803,580;26,065;79,152,427;86;369,321,334;1,839,225;720,8;74,164,945;874,056,250;4,123,457,278;40;51;;;;;;
Agora Hills;Scarlet;Doja Cat;9/22/2023;USRC12301954;99;509,653,100;66,219;67,521,533;;48,045,203;986,278;328,562;88,846,508;544,437,406;1,561,456,615;80;39;;;;;;
Prada;Prada;cassï¿;8/11/23;GBCEN2300147;100;609,699,748;128,498;160,755,092;83;47,611,547;418,343;283,6;96,934,486;1,090,501,901;113,545,664;129;100;25,956,265;;;;;
Montagem Rave Eterno;Montagem Rave Eterno;Dj Samir;5/2/24;GXD7G2413058;101;5,157,486;470;2,924,720;;1,278,618;27,849;1,100,000;261;3,900,000;;3;;;;;;;
Lil Boo Thang;Lil Boo Thang;Paul Russell;8/18/2023;USAR12300323;102;242,070,373;37,17;74,130,983;76;22,907,992;261,664;2,553,106;312,997,953;3,832,221,658;15,593,731;106;79;670,026;;;;;
MONACO;nadie sabe lo que va a pasar maï¿½ï¿;Bad Bunny;10/13/2023;QMFME2364182;103;478,150,858;73,306;51,842,133;78;113,379,734;1,312,763;1,700,998;182,319,546;2,111,289,492;90,954,700;78;53;4,374,049;;;;;
Laxed (Siren Beat);Laxed (Siren Beat);Jawsh 685;4/24/2020;USSM12002399;104;61,382,407;7,24;1,708,319;43;9,977,490;201,21;37,726,462;9,239,474;147,837,262;;15;1;;;;;;
(It Goes Like) Nanana - Edit;(It Goes Like) Nanana [Edit];Peggy Gou;6/15/2023;GBBKS2300080;105;460,156,070;163,449;127,827,271;77;8,183,226;98,257;530,103;65,920,648;1,032,799,567;56,004,473;;111;9,451,176;;;;;
Training Season;Training Season;Dua Lipa;2/15/2024;GBAHT2301078;106;251,153,869;16,811;92,985,554;76;66,691,067;961,957;102,884;34,572,688;431,390,500;2,120,552,147;162;116;776,717;;;;;
Type Shit;WE DON'T TRUST YOU;Future;3/22/2024;USSM12402033;107;205,206,688;28,064;84,737,651;84;39,453,253;672,789;;;;232,440,923;99;47;7,571,301;;;;;
Armageddon;Armageddon - The 1st Album;aespa;5/27/2024;KRA302400093;108;32,942,304;1,262;26,204,483;74;57,861,795;1,257,935;;;;29,510,774;37;33;139,164;;;;;
The Box;Please Excuse Me For Being Antisocial;Roddy Ricch;12/6/19;USAT21906978;109;1,911,559,785;317,345;87,765,033;78;441,257,231;4,829,633;4,930,490;561,201,008;4,574,447,121;2,077,511;255;28;168,458,097;;;;;
INDUSTRY BABY (feat. Jack Harlow);INDUSTRY BABY (feat. Jack Harlow);Lil Nas X;7/23/2021;USSM12104539;110;2,014,959,725;354,831;87,942,438;70;1,003,346,208;16,856,186;1,750,366;915,814,897;9,558,947,943;3,191,316,960;360;74;;;;;;
Pedro;Pedro - Single;Jaxomy;3/29/2024;DEE862400427;111;168,145,583;27,654;159,737,263;85;35,008,949;717,214;;;;39,149,568;107;54;3,634,381;;;;;
Fast Car;Gettin' Old;Luke Combs;3/24/2023;US6XF2200436;112;518,988,585;73,116;58,391,498;80;107,703,759;768,813;354,036;74,258,021;924,204,888;103,658,014;117;104;728,039;;;;;
Bling-Bang-Bang-Born;Bling-Bang-Bang-Born;Creepy Nuts;1/7/24;JPU902305042;113;247,399,972;22,222;13,870,528;80;389,540,239;4,392,933;;22,950,364;296,522,040;1,041,035,733;53;17;;;;;;
Aesthetic;Aesthetic;Tollan Kim;3/4/22;SGB502208576;114;5,712,985;2,311;535,908;44;3,120,073;56,276;20,114,495;2,452,502,310;33,870,791,454;;4;1;;;;;;
Sunflower - Spider-Man: Into the Spider-Verse;Sunflower (Spider-Man: Into the Spider-Verse);Post Malone;10/18/2018;USUM71814888;116;3,358,704,125;392,082;123,917,182;79;2,763,188,773;19,410,390;2,714,134;178,829,434;1,597,453,878;484,189,798;351;99;;;;;;
Hands;Hands;Dianï¿½;8/1/22;GBKPL2205333;115;126,914;8;212;1;2,435,813,922;7,208,467;33;188;6,415;26,630,093;;;;;;;;
Saturn;Saturn - Single;SZA;2/24/2024;USRC12400216;117;343,090,427;21,104;154,253,718;87;38,173,339;349,66;;;;196,380,893;120;87;166,254;;;;;
Chegou a Hora de Ir para Cama (Playback);3 Palavrinhas Vol.9 (Playback);3 Palavrinhas;6/4/24;BXT622400190;118;;;;;39,323,383;44,223;;;;;;;;;;;;
Believer;Believer;Imagine Dragons;1/31/2017;USUM71700626;119;3,006,226,762;335,88;89,243,475;81;4,495,059,988;42,240,881;5,745,117;453,132,709;5,876,458,723;276,194,776;226;71;2,943,611;;;;;
WAIT FOR U (feat. Drake & Tems);WAIT FOR U (feat. Drake & Tems);Future;4/27/2022;USSM12203789;120;787,155,930;183,85;58,397,185;77;357,772,653;2,590,835;931,66;95,662,104;836,550,889;3,934,416,606;150;69;48,937,045;;;;;
I KNOW ?;UTOPIA;Travis Scott;7/28/2023;USSM12305012;121;532,605,345;128,534;31,725,858;81;97,958,347;1,237,197;322,9;108,595,670;947,194,801;259,363,238;46;40;12,785,993;;;;;
